Age,YearsAtCompany,MonthlyIncome,DistanceFromHome,JobLevel,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,Gender,Department,Education,MaritalStatus,JobRole,OverTime,BusinessTravel,target,PercentOfYearsInCurrentRole,YearsSincePromoOverTotalYearsRatio,SalaryHikeToIncome,SatisfactionToJobRoleAvg,SatisfactionToDepartmentAvg,DeptOvertimeRatio,DistanceGroup,AgeGroup,YearsAtCompanyPerformanceInteraction
41.0,33.0,7859.0,36.0,2.0,2.0,3.0,14.0,5.0,4.0,4.0,Male,HR,High School,Married,Engineer,Yes,Travel_Rarely,1,0.42424242424242425,0.15151515151515152,0.0002544853034737244,greater,equal,0.47465437788018433,Far,40-50,99.0
43.0,30.0,14673.0,45.0,4.0,6.0,2.0,25.0,6.0,9.0,2.0,Male,Sales,Masters,Single,Engineer,No,Non-Travel,0,0.8333333333333334,0.2,0.0004089143324473523,greater,equal,0.48325892857142855,Very Far,40-50,60.0
42.0,11.0,8593.0,49.0,3.0,9.0,2.0,2.0,0.0,1.0,4.0,Male,HR,Bachelors,Single,Engineer,Yes,Non-Travel,0,0.18181818181818182,0.0,0.001047364133597114,greater,equal,0.47465437788018433,Very Far,40-50,22.0
62.0,11.0,6910.0,30.0,4.0,18.0,1.0,5.0,5.0,4.0,2.0,Female,Sales,Bachelors,Divorced,Clerk,No,Travel_Frequently,1,0.45454545454545453,0.45454545454545453,0.0026049204052098407,equal,equal,0.48325892857142855,Far,50+,11.0
58.0,15.0,5254.0,21.0,2.0,24.0,4.0,8.0,6.0,7.0,3.0,Female,Sales,Bachelors,Divorced,Clerk,Yes,Travel_Rarely,1,0.5333333333333333,0.4,0.004567948229920061,greater,greater,0.48325892857142855,Moderate,50+,60.0
46.0,24.0,6453.0,20.0,1.0,14.0,1.0,8.0,4.0,2.0,2.0,Female,Development,PhD,Married,Technician,No,Non-Travel,0,0.3333333333333333,0.16666666666666666,0.0021695335502866886,less,less,0.49280575539568344,Moderate,40-50,24.0
32.0,21.0,9937.0,42.0,1.0,14.0,2.0,15.0,3.0,8.0,2.0,Female,Sales,Bachelors,Divorced,Manager,Yes,Non-Travel,0,0.7142857142857143,0.14285714285714285,0.0014088759182851968,less,equal,0.48325892857142855,Very Far,30-40,42.0
18.0,23.0,5429.0,12.0,1.0,2.0,3.0,21.0,5.0,12.0,3.0,Female,Development,PhD,Married,Manager,No,Travel_Frequently,1,0.9130434782608695,0.21739130434782608,0.0003683919690550746,less,equal,0.49280575539568344,Close,Under 30,69.0
42.0,11.0,2184.0,8.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,Male,Support,High School,Divorced,Engineer,No,Travel_Frequently,1,0.18181818181818182,0.0,0.0009157509157509158,greater,less,0.48679678530424797,Close,40-50,22.0
24.0,17.0,5133.0,35.0,5.0,3.0,2.0,13.0,8.0,11.0,4.0,Female,Support,High School,Married,Manager,Yes,Travel_Frequently,0,0.7647058823529411,0.47058823529411764,0.0005844535359438924,equal,greater,0.48679678530424797,Far,Under 30,34.0
26.0,15.0,6978.0,29.0,3.0,14.0,2.0,14.0,2.0,5.0,1.0,Female,Development,Bachelors,Married,Clerk,No,Non-Travel,0,0.9333333333333333,0.13333333333333333,0.002006305531670966,less,less,0.49280575539568344,Far,Under 30,30.0
41.0,3.0,10698.0,42.0,4.0,15.0,1.0,1.0,0.0,1.0,4.0,Female,Finance,Masters,Married,Technician,No,Non-Travel,0,0.3333333333333333,0.0,0.0014021312394840158,greater,greater,0.5064177362893816,Very Far,40-50,3.0
18.0,11.0,15773.0,7.0,4.0,4.0,4.0,7.0,2.0,6.0,2.0,Female,Sales,Bachelors,Divorced,Executive,Yes,Non-Travel,1,0.6363636363636364,0.18181818181818182,0.00025359792049705195,greater,equal,0.48325892857142855,Close,Under 30,44.0
25.0,21.0,19580.0,39.0,5.0,7.0,4.0,11.0,9.0,4.0,3.0,Male,Development,Bachelors,Divorced,Manager,No,Non-Travel,0,0.5238095238095238,0.42857142857142855,0.0003575076608784474,less,equal,0.49280575539568344,Very Far,Under 30,84.0
41.0,17.0,13877.0,20.0,3.0,9.0,1.0,4.0,3.0,4.0,4.0,Female,Development,High School,Married,Manager,No,Travel_Rarely,0,0.23529411764705882,0.17647058823529413,0.000648555163219716,equal,greater,0.49280575539568344,Moderate,40-50,17.0
28.0,32.0,19722.0,28.0,3.0,21.0,3.0,32.0,11.0,16.0,2.0,Male,Finance,Bachelors,Divorced,Clerk,No,Travel_Rarely,1,1.0,0.34375,0.0010648007301490721,equal,equal,0.5064177362893816,Far,Under 30,96.0
34.0,26.0,16457.0,14.0,2.0,20.0,1.0,7.0,7.0,3.0,3.0,Male,Support,Masters,Married,Technician,No,Non-Travel,1,0.2692307692307692,0.2692307692307692,0.0012152883271556176,equal,equal,0.48679678530424797,Moderate,30-40,26.0
25.0,18.0,15562.0,12.0,1.0,1.0,4.0,3.0,0.0,1.0,3.0,Female,HR,Bachelors,Single,Clerk,Yes,Travel_Frequently,0,0.16666666666666666,0.0,6.425909266161162e-05,greater,less,0.47465437788018433,Close,Under 30,72.0
52.0,13.0,8546.0,8.0,4.0,13.0,1.0,11.0,8.0,9.0,3.0,Female,Support,Masters,Single,Clerk,Yes,Travel_Rarely,0,0.8461538461538461,0.6153846153846154,0.0015211794991809033,greater,equal,0.48679678530424797,Close,50+,13.0
52.0,24.0,13706.0,7.0,2.0,4.0,3.0,17.0,4.0,1.0,3.0,Female,Sales,Masters,Single,Executive,Yes,Non-Travel,1,0.7083333333333334,0.16666666666666666,0.00029184298847220193,greater,greater,0.48325892857142855,Close,50+,72.0
50.0,33.0,12352.0,5.0,4.0,6.0,2.0,11.0,11.0,7.0,2.0,Female,Development,Bachelors,Married,Clerk,Yes,Travel_Rarely,0,0.3333333333333333,0.3333333333333333,0.00048575129533678756,equal,less,0.49280575539568344,Close,40-50,66.0
22.0,23.0,3729.0,1.0,4.0,10.0,2.0,2.0,0.0,1.0,2.0,Female,Finance,Masters,Divorced,Clerk,No,Travel_Rarely,0,0.08695652173913043,0.0,0.0026816840976133013,equal,equal,0.5064177362893816,Close,Under 30,46.0
59.0,37.0,11609.0,47.0,3.0,2.0,4.0,7.0,5.0,4.0,3.0,Male,Support,Masters,Married,Executive,Yes,Travel_Rarely,0,0.1891891891891892,0.13513513513513514,0.00017228012748729435,greater,equal,0.48679678530424797,Very Far,50+,148.0
56.0,22.0,14206.0,9.0,4.0,11.0,4.0,12.0,8.0,1.0,3.0,Female,Finance,High School,Married,Engineer,Yes,Travel_Rarely,0,0.5454545454545454,0.36363636363636365,0.0007743207095593411,greater,greater,0.5064177362893816,Close,50+,88.0
58.0,4.0,2018.0,44.0,5.0,13.0,3.0,3.0,0.0,3.0,4.0,Female,Support,High School,Married,Engineer,No,Non-Travel,1,0.75,0.0,0.006442021803766105,greater,greater,0.48679678530424797,Very Far,50+,12.0
45.0,35.0,18848.0,18.0,4.0,22.0,1.0,3.0,1.0,1.0,3.0,Female,Sales,Masters,Married,Executive,No,Travel_Rarely,1,0.08571428571428572,0.02857142857142857,0.00116723259762309,greater,greater,0.48325892857142855,Moderate,40-50,35.0
24.0,23.0,10882.0,43.0,5.0,0.0,3.0,22.0,4.0,5.0,3.0,Male,HR,PhD,Divorced,Clerk,Yes,Non-Travel,0,0.9565217391304348,0.17391304347826086,0.0,greater,less,0.47465437788018433,Very Far,Under 30,69.0
