Age,YearsAtCompany,MonthlyIncome,DistanceFromHome,JobLevel,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,Gender,Department,Education,MaritalStatus,JobRole,OverTime,BusinessTravel,target
23.0,6.0,9476.0,31.0,2.0,2.0,4.0,2.0,2.0,0.0,3.0,Male,Finance,Masters,Divorced,Clerk,No,Travel_Rarely,0
59.0,15.0,2707.0,36.0,4.0,17.0,2.0,2.0,1.0,1.0,2.0,Female,Finance,Bachelors,Divorced,Executive,No,Travel_Frequently,0
21.0,25.0,10624.0,10.0,5.0,24.0,1.0,19.0,13.0,13.0,1.0,Male,Development,Bachelors,Married,Engineer,No,Travel_Rarely,0
46.0,34.0,18325.0,19.0,4.0,9.0,4.0,4.0,1.0,0.0,2.0,Female,Sales,Masters,Divorced,Manager,Yes,Non-Travel,1
35.0,16.0,2047.0,23.0,4.0,1.0,2.0,16.0,14.0,12.0,1.0,Male,HR,Masters,Married,Manager,Yes,Travel_Frequently,0
43.0,22.0,3914.0,46.0,2.0,18.0,4.0,3.0,2.0,0.0,1.0,Male,Sales,Bachelors,Divorced,Engineer,Yes,Travel_Rarely,0
61.0,7.0,19489.0,10.0,4.0,24.0,3.0,1.0,0.0,0.0,4.0,Female,Development,PhD,Married,Manager,No,Travel_Frequently,1
51.0,1.0,17390.0,49.0,4.0,10.0,3.0,1.0,0.0,1.0,4.0,Female,Development,Bachelors,Married,Technician,Yes,Travel_Rarely,0
27.0,30.0,18951.0,27.0,1.0,18.0,2.0,20.0,1.0,1.0,2.0,Female,HR,PhD,Married,Manager,No,Non-Travel,0
53.0,31.0,10671.0,43.0,4.0,23.0,4.0,29.0,11.0,13.0,4.0,Female,Support,PhD,Single,Technician,No,Non-Travel,0
31.0,28.0,19250.0,2.0,1.0,23.0,2.0,14.0,10.0,7.0,2.0,Female,Support,PhD,Divorced,Engineer,Yes,Non-Travel,1
48.0,2.0,13452.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,Male,HR,Masters,Divorced,Technician,No,Travel_Frequently,0
32.0,7.0,3028.0,8.0,4.0,9.0,2.0,4.0,2.0,0.0,3.0,Male,Support,Bachelors,Divorced,Manager,No,Non-Travel,1
25.0,1.0,3813.0,19.0,5.0,15.0,3.0,1.0,0.0,1.0,3.0,Male,Finance,Bachelors,Single,Executive,No,Travel_Frequently,0
31.0,30.0,7513.0,16.0,4.0,2.0,2.0,15.0,14.0,1.0,3.0,Female,Support,High School,Married,Technician,No,Non-Travel,0
40.0,36.0,3050.0,4.0,1.0,23.0,3.0,25.0,17.0,21.0,4.0,Female,Support,Masters,Divorced,Manager,Yes,Travel_Frequently,1
57.0,19.0,8278.0,14.0,5.0,18.0,3.0,5.0,5.0,5.0,1.0,Female,Support,High School,Single,Executive,No,Non-Travel,0
38.0,28.0,13798.0,22.0,2.0,19.0,4.0,19.0,7.0,13.0,4.0,Female,Finance,High School,Single,Engineer,No,Travel_Rarely,0
33.0,16.0,16727.0,17.0,3.0,20.0,2.0,9.0,5.0,2.0,3.0,Female,Support,PhD,Divorced,Engineer,No,Travel_Rarely,0
62.0,9.0,6708.0,43.0,3.0,6.0,4.0,6.0,6.0,2.0,2.0,Female,Finance,Masters,Married,Clerk,Yes,Travel_Frequently,0
35.0,21.0,11476.0,26.0,1.0,16.0,3.0,9.0,2.0,7.0,1.0,Male,HR,High School,Single,Engineer,No,Non-Travel,0
64.0,5.0,7318.0,35.0,2.0,7.0,2.0,4.0,4.0,0.0,3.0,Male,Sales,Bachelors,Divorced,Clerk,No,Non-Travel,1
41.0,33.0,7859.0,36.0,2.0,2.0,3.0,14.0,5.0,4.0,4.0,Male,HR,High School,Married,Engineer,Yes,Travel_Rarely,1
43.0,30.0,14673.0,45.0,4.0,6.0,2.0,25.0,6.0,9.0,2.0,Male,Sales,Masters,Single,Engineer,No,Non-Travel,0
42.0,11.0,8593.0,49.0,3.0,9.0,2.0,2.0,0.0,1.0,4.0,Male,HR,Bachelors,Single,Engineer,Yes,Non-Travel,0
62.0,11.0,6910.0,30.0,4.0,18.0,1.0,5.0,5.0,4.0,2.0,Female,Sales,Bachelors,Divorced,Clerk,No,Travel_Frequently,1
58.0,15.0,5254.0,21.0,2.0,24.0,4.0,8.0,6.0,7.0,3.0,Female,Sales,Bachelors,Divorced,Clerk,Yes,Travel_Rarely,1
46.0,24.0,6453.0,20.0,1.0,14.0,1.0,8.0,4.0,2.0,2.0,Female,Development,PhD,Married,Technician,No,Non-Travel,0
32.0,21.0,9937.0,42.0,1.0,14.0,2.0,15.0,3.0,8.0,2.0,Female,Sales,Bachelors,Divorced,Manager,Yes,Non-Travel,0
62.0,26.0,6177.0,26.0,5.0,4.0,1.0,22.0,21.0,5.0,2.0,Female,Sales,PhD,Divorced,Manager,Yes,Travel_Frequently,1
18.0,23.0,5429.0,12.0,1.0,2.0,3.0,21.0,5.0,12.0,3.0,Female,Development,PhD,Married,Manager,No,Travel_Frequently,1
42.0,11.0,2184.0,8.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,Male,Support,High School,Divorced,Engineer,No,Travel_Frequently,1
24.0,17.0,5133.0,35.0,5.0,3.0,2.0,13.0,8.0,11.0,4.0,Female,Support,High School,Married,Manager,Yes,Travel_Frequently,0
26.0,15.0,6978.0,29.0,3.0,14.0,2.0,14.0,2.0,5.0,1.0,Female,Development,Bachelors,Married,Clerk,No,Non-Travel,0
41.0,3.0,10698.0,42.0,4.0,15.0,1.0,1.0,0.0,1.0,4.0,Female,Finance,Masters,Married,Technician,No,Non-Travel,0
18.0,11.0,15773.0,7.0,4.0,4.0,4.0,7.0,2.0,6.0,2.0,Female,Sales,Bachelors,Divorced,Executive,Yes,Non-Travel,1
61.0,32.0,8174.0,10.0,1.0,20.0,4.0,29.0,23.0,22.0,2.0,Male,Sales,High School,Married,Technician,Yes,Travel_Frequently,0
25.0,21.0,19580.0,39.0,5.0,7.0,4.0,11.0,9.0,4.0,3.0,Male,Development,Bachelors,Divorced,Manager,No,Non-Travel,0
41.0,17.0,13877.0,20.0,3.0,9.0,1.0,4.0,3.0,4.0,4.0,Female,Development,High School,Married,Manager,No,Travel_Rarely,0
28.0,32.0,19722.0,28.0,3.0,21.0,3.0,32.0,11.0,16.0,2.0,Male,Finance,Bachelors,Divorced,Clerk,No,Travel_Rarely,1
34.0,26.0,16457.0,14.0,2.0,20.0,1.0,7.0,7.0,3.0,3.0,Male,Support,Masters,Married,Technician,No,Non-Travel,1
25.0,18.0,15562.0,12.0,1.0,1.0,4.0,3.0,0.0,1.0,3.0,Female,HR,Bachelors,Single,Clerk,Yes,Travel_Frequently,0
52.0,13.0,8546.0,8.0,4.0,13.0,1.0,11.0,8.0,9.0,3.0,Female,Support,Masters,Single,Clerk,Yes,Travel_Rarely,0
52.0,24.0,13706.0,7.0,2.0,4.0,3.0,17.0,4.0,1.0,3.0,Female,Sales,Masters,Single,Executive,Yes,Non-Travel,1
50.0,33.0,12352.0,5.0,4.0,6.0,2.0,11.0,11.0,7.0,2.0,Female,Development,Bachelors,Married,Clerk,Yes,Travel_Rarely,0
22.0,23.0,3729.0,1.0,4.0,10.0,2.0,2.0,0.0,1.0,2.0,Female,Finance,Masters,Divorced,Clerk,No,Travel_Rarely,0
59.0,37.0,11609.0,47.0,3.0,2.0,4.0,7.0,5.0,4.0,3.0,Male,Support,Masters,Married,Executive,Yes,Travel_Rarely,0
56.0,22.0,14206.0,9.0,4.0,11.0,4.0,12.0,8.0,1.0,3.0,Female,Finance,High School,Married,Engineer,Yes,Travel_Rarely,0
58.0,4.0,2018.0,44.0,5.0,13.0,3.0,3.0,0.0,3.0,4.0,Female,Support,High School,Married,Engineer,No,Non-Travel,1
45.0,35.0,18848.0,18.0,4.0,22.0,1.0,3.0,1.0,1.0,3.0,Female,Sales,Masters,Married,Executive,No,Travel_Rarely,1
24.0,23.0,10882.0,43.0,5.0,0.0,3.0,22.0,4.0,5.0,3.0,Male,HR,PhD,Divorced,Clerk,Yes,Non-Travel,0
26.0,35.0,18268.0,42.0,4.0,21.0,3.0,7.0,3.0,1.0,2.0,Female,Finance,Bachelors,Married,Manager,No,Travel_Rarely,1
25.0,4.0,7310.0,10.0,2.0,15.0,2.0,2.0,1.0,2.0,1.0,Female,Finance,Masters,Single,Technician,Yes,Travel_Rarely,1
29.0,38.0,15804.0,1.0,3.0,14.0,1.0,15.0,2.0,8.0,4.0,Female,HR,Bachelors,Single,Manager,No,Travel_Rarely,0
51.0,5.0,13253.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Male,Finance,High School,Single,Manager,No,Non-Travel,0
50.0,35.0,18546.0,43.0,3.0,22.0,2.0,17.0,15.0,2.0,3.0,Female,Finance,Bachelors,Married,Clerk,Yes,Travel_Rarely,0
40.0,3.0,11827.0,29.0,2.0,21.0,3.0,0.0,0.0,0.0,3.0,Female,Support,Masters,Divorced,Technician,No,Travel_Rarely,0
41.0,9.0,12938.0,2.0,1.0,12.0,2.0,5.0,3.0,5.0,3.0,Female,Support,Masters,Divorced,Technician,Yes,Travel_Frequently,0
52.0,20.0,9240.0,11.0,4.0,16.0,4.0,11.0,6.0,9.0,3.0,Female,Sales,Masters,Married,Executive,Yes,Travel_Frequently,0
61.0,39.0,8844.0,25.0,1.0,8.0,2.0,36.0,17.0,20.0,1.0,Female,Finance,PhD,Divorced,Clerk,No,Non-Travel,1
57.0,38.0,3585.0,34.0,1.0,4.0,2.0,20.0,20.0,20.0,4.0,Female,Sales,PhD,Single,Technician,Yes,Travel_Rarely,0
39.0,36.0,12541.0,41.0,5.0,22.0,1.0,27.0,7.0,24.0,4.0,Male,HR,PhD,Divorced,Clerk,Yes,Travel_Rarely,1
44.0,2.0,7427.0,1.0,2.0,11.0,4.0,2.0,2.0,0.0,3.0,Female,HR,Masters,Married,Engineer,Yes,Travel_Frequently,1
52.0,30.0,17620.0,31.0,4.0,16.0,1.0,7.0,1.0,5.0,4.0,Female,Support,PhD,Married,Manager,Yes,Travel_Frequently,0
18.0,26.0,18578.0,38.0,5.0,10.0,2.0,20.0,7.0,20.0,4.0,Female,Finance,Bachelors,Divorced,Technician,Yes,Travel_Rarely,0
52.0,16.0,11033.0,22.0,4.0,10.0,4.0,2.0,0.0,2.0,1.0,Male,Development,Masters,Married,Engineer,Yes,Non-Travel,0
54.0,22.0,16154.0,2.0,1.0,23.0,3.0,5.0,3.0,5.0,2.0,Male,HR,High School,Divorced,Clerk,No,Travel_Frequently,1
64.0,12.0,18336.0,47.0,5.0,7.0,3.0,2.0,0.0,2.0,1.0,Female,Finance,Masters,Divorced,Engineer,Yes,Travel_Rarely,0
31.0,26.0,14199.0,1.0,5.0,14.0,2.0,8.0,6.0,5.0,2.0,Male,Sales,Bachelors,Single,Engineer,No,Travel_Frequently,0
20.0,19.0,14776.0,24.0,5.0,24.0,1.0,12.0,1.0,12.0,1.0,Male,Support,PhD,Married,Engineer,No,Non-Travel,0
18.0,12.0,4931.0,36.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,Male,Sales,Masters,Single,Engineer,Yes,Travel_Frequently,0
22.0,23.0,16843.0,45.0,5.0,21.0,3.0,1.0,1.0,1.0,1.0,Female,HR,PhD,Married,Engineer,No,Travel_Rarely,1
43.0,2.0,7699.0,36.0,4.0,9.0,4.0,1.0,0.0,1.0,4.0,Female,HR,Masters,Divorced,Engineer,No,Travel_Frequently,0
31.0,9.0,9636.0,47.0,2.0,20.0,1.0,8.0,6.0,2.0,4.0,Male,Sales,Bachelors,Married,Executive,Yes,Non-Travel,0
44.0,12.0,19314.0,9.0,5.0,13.0,3.0,4.0,4.0,1.0,3.0,Male,Finance,PhD,Married,Manager,Yes,Travel_Rarely,0
26.0,13.0,16989.0,12.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,Female,HR,PhD,Single,Clerk,No,Travel_Rarely,0
32.0,32.0,17237.0,46.0,4.0,16.0,3.0,17.0,7.0,12.0,2.0,Female,Support,Bachelors,Single,Technician,Yes,Travel_Rarely,1
32.0,1.0,6367.0,20.0,3.0,17.0,1.0,0.0,0.0,0.0,1.0,Male,Finance,Masters,Divorced,Technician,No,Non-Travel,1
43.0,1.0,15654.0,4.0,5.0,18.0,4.0,0.0,0.0,0.0,1.0,Male,Development,High School,Single,Clerk,Yes,Travel_Rarely,1
59.0,38.0,4171.0,15.0,5.0,6.0,1.0,33.0,8.0,10.0,2.0,Male,HR,Masters,Divorced,Engineer,Yes,Non-Travel,0
30.0,30.0,5294.0,4.0,2.0,24.0,4.0,24.0,15.0,20.0,1.0,Male,HR,Bachelors,Divorced,Executive,No,Non-Travel,0
49.0,3.0,15801.0,5.0,4.0,17.0,4.0,3.0,2.0,0.0,4.0,Female,Support,High School,Divorced,Manager,Yes,Travel_Frequently,0
56.0,33.0,6747.0,10.0,5.0,11.0,4.0,19.0,15.0,11.0,2.0,Male,Support,Bachelors,Married,Engineer,Yes,Travel_Frequently,1
49.0,18.0,6392.0,44.0,4.0,14.0,1.0,12.0,12.0,7.0,1.0,Female,Sales,Masters,Divorced,Clerk,No,Travel_Rarely,1
21.0,36.0,1532624.0,44.0,2.0,13.0,1.0,13.0,10.0,10.0,2.0,Male,Sales,High School,Single,Clerk,Yes,Travel_Rarely,1
47.0,8.0,4834.0,40.0,4.0,9.0,2.0,0.0,0.0,0.0,2.0,Male,Sales,Bachelors,Married,Executive,Yes,Non-Travel,0
54.0,23.0,17435.0,36.0,4.0,16.0,3.0,20.0,8.0,3.0,3.0,Male,Support,PhD,Single,Executive,No,Travel_Frequently,0
40.0,12.0,14908.0,35.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,Male,Sales,High School,Divorced,Clerk,No,Travel_Rarely,1
56.0,29.0,9116.0,1.0,5.0,3.0,4.0,17.0,14.0,7.0,2.0,Male,Sales,High School,Divorced,Engineer,No,Travel_Rarely,1
62.0,18.0,4928.0,18.0,4.0,8.0,1.0,17.0,5.0,15.0,3.0,Female,Development,Bachelors,Single,Engineer,No,Non-Travel,0
32.0,9.0,8494.0,31.0,3.0,3.0,1.0,5.0,4.0,0.0,3.0,Male,Sales,PhD,Married,Engineer,No,Travel_Frequently,0
60.0,13.0,3672.0,46.0,5.0,18.0,3.0,5.0,2.0,3.0,4.0,Male,HR,High School,Single,Manager,No,Travel_Rarely,0
46.0,39.0,10190.0,49.0,2.0,23.0,1.0,26.0,17.0,9.0,4.0,Male,Support,Bachelors,Divorced,Manager,Yes,Travel_Rarely,1
53.0,19.0,6350.0,6.0,1.0,24.0,4.0,16.0,2.0,9.0,2.0,Female,Finance,High School,Married,Engineer,No,Travel_Rarely,0
30.0,3.0,3287.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,Female,Development,High School,Divorced,Clerk,No,Travel_Rarely,0
49.0,37.0,12918.0,42.0,5.0,17.0,2.0,37.0,28.0,34.0,2.0,Female,Support,High School,Divorced,Executive,No,Travel_Rarely,1
24.0,38.0,18036.0,19.0,2.0,14.0,4.0,31.0,8.0,25.0,2.0,Female,Support,PhD,Single,Technician,Yes,Travel_Rarely,0
39.0,4.0,8610.0,32.0,3.0,19.0,4.0,2.0,0.0,2.0,1.0,Male,HR,Masters,Divorced,Executive,Yes,Travel_Frequently,1
45.0,31.0,11250.0,42.0,5.0,7.0,1.0,20.0,15.0,14.0,2.0,Male,Sales,Masters,Single,Executive,Yes,Non-Travel,1
19.0,5.0,8883.0,30.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,Male,HR,PhD,Married,Technician,No,Non-Travel,1
59.0,13.0,13170.0,26.0,3.0,24.0,3.0,0.0,0.0,0.0,1.0,Female,Sales,PhD,Divorced,Engineer,Yes,Non-Travel,1
62.0,5.0,18514.0,3.0,1.0,12.0,2.0,5.0,4.0,0.0,1.0,Male,Sales,Bachelors,Divorced,Executive,Yes,Travel_Rarely,0
23.0,13.0,10044.0,33.0,1.0,12.0,1.0,4.0,4.0,4.0,3.0,Male,Support,High School,Married,Technician,Yes,Non-Travel,1
45.0,11.0,10302.0,31.0,4.0,13.0,2.0,2.0,2.0,0.0,4.0,Female,Sales,PhD,Single,Clerk,Yes,Travel_Frequently,0
45.0,26.0,4734.0,47.0,2.0,14.0,4.0,13.0,10.0,4.0,3.0,Female,Development,Bachelors,Divorced,Clerk,No,Travel_Rarely,0
61.0,25.0,3066.0,20.0,4.0,20.0,4.0,18.0,3.0,14.0,1.0,Female,Development,Masters,Married,Clerk,No,Travel_Frequently,0
61.0,11.0,6970.0,4.0,1.0,11.0,2.0,7.0,1.0,2.0,3.0,Male,Development,Masters,Divorced,Engineer,No,Travel_Rarely,1
37.0,7.0,19701.0,32.0,2.0,22.0,2.0,4.0,1.0,0.0,3.0,Male,Support,Masters,Single,Executive,No,Travel_Rarely,1
47.0,9.0,18668.0,18.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,Female,HR,Masters,Single,Executive,No,Non-Travel,0
28.0,15.0,9794.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,Male,Finance,Bachelors,Single,Manager,No,Travel_Frequently,0
45.0,25.0,6114.0,22.0,3.0,17.0,4.0,5.0,1.0,0.0,3.0,Female,Sales,High School,Single,Clerk,Yes,Non-Travel,0
42.0,7.0,14834.0,17.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,Female,Finance,Bachelors,Married,Engineer,No,Travel_Rarely,1
56.0,28.0,18431.0,42.0,1.0,13.0,3.0,19.0,9.0,10.0,3.0,Male,HR,High School,Divorced,Technician,No,Travel_Frequently,0
50.0,19.0,8138.0,4.0,2.0,1.0,3.0,18.0,0.0,6.0,3.0,Female,HR,Masters,Married,Engineer,No,Travel_Frequently,1
18.0,16.0,12270.0,37.0,3.0,17.0,1.0,13.0,1.0,7.0,4.0,Female,Support,PhD,Single,Executive,No,Travel_Rarely,0
